rank,model,test_games,accuracy,log_loss,brier_score,roc_auc,calibration_ece,baseline_home_win_rate,avg_confidence,probability_std,extreme_prediction_rate,feature_signal,train_accuracy,train_log_loss,accuracy_gap,log_loss_gap,cv_best_score,best_params
1,current-xgboost,1596,0.6704260651629073,0.6081797745944937,0.20999829471111298,0.7241213570979879,0.022340315821251483,0.550125313283208,0.6574158072471619,0.18390491604804993,0.0037593984962406013,"[{""feature"": ""ELO_DIFF"", ""importance"": 0.32022836804389954}, {""feature"": ""HOME_ELO"", ""importance"": 0.06708522140979767}, {""feature"": ""HOME_roll_PTS"", ""importance"": 0.056698787957429886}, {""feature"": ""HOME_roll_TOV"", ""importance"": 0.04899435490369797}, {""feature"": ""AWAY_roll_FG_PCT"", ""importance"": 0.048978254199028015}]",0.695864898989899,0.5820845649444771,0.025438833826991747,0.02609520965001655,-0.6475335716100822,{}
2,gradient-boosting-gridsearch,1596,0.6804511278195489,0.6085600043623786,0.20988117955926186,0.7282314198513968,0.03626126231198235,0.550125313283208,0.6446970440957144,0.16564381146945126,0.0,"[{""feature"": ""ELO_DIFF"", ""importance"": 0.7356922719777033}, {""feature"": ""HOME_ELO"", ""importance"": 0.08160200173513704}, {""feature"": ""HOME_roll_PTS"", ""importance"": 0.037981081869880653}, {""feature"": ""AWAY_ELO"", ""importance"": 0.024721605041894478}, {""feature"": ""AWAY_roll_TOV"", ""importance"": 0.021328303039768747}]",0.6459911616161617,0.6210932474966364,-0.034459966203387205,-0.012533243134257854,-0.6416777794421206,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}"
3,random-forest-gridsearch,1596,0.6723057644110275,0.6093969701414018,0.21027694905706798,0.7276032512484059,0.030855792875258657,0.550125313283208,0.6414499715357689,0.16286344602755018,0.0,"[{""feature"": ""ELO_DIFF"", ""importance"": 0.2901917755884527}, {""feature"": ""HOME_ELO"", ""importance"": 0.17701869900776512}, {""feature"": ""AWAY_ELO"", ""importance"": 0.1199712082349124}, {""feature"": ""HOME_roll_PTS"", ""importance"": 0.0560672694327826}, {""feature"": ""HOME_roll_FG_PCT"", ""importance"": 0.05146665069426055}]",0.6912878787878788,0.5901559893758473,0.018982114376851267,0.019240980765554472,-0.6354229135872518,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 400}"
4,lstm-gridsearch,1596,0.6842105263157895,0.6099204835256912,0.2104293704032898,0.7239452795350283,0.02986844752291987,0.550125313283208,0.6640832424163818,0.1853359341621399,0.003132832080200501,"[{""feature"": ""HOME_ELO"", ""importance"": 0.0760868489742279}, {""feature"": ""AWAY_ELO"", ""importance"": 0.07273834943771362}, {""feature"": ""ELO_DIFF"", ""importance"": 0.06943919509649277}, {""feature"": ""AWAY_roll_REB"", ""importance"": 0.06752738356590271}, {""feature"": ""HOME_roll_REB"", ""importance"": 0.06709253042936325}]",0.6440972222222222,0.6257570516103682,-0.04011330409356728,-0.01583656808467704,-0.6328567582290977,"{""batch_size"": 64, ""dropout"": 0.0, ""epochs"": 12, ""hidden_size"": 32, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0}"
5,legacy-calibrated-logistic,1596,0.681704260651629,0.6194133832358004,0.20889334092451367,0.7294869639152036,0.03331962525389792,0.550125313283208,0.6593920021869436,0.18700588554520717,0.040726817042606514,"[{""feature"": ""ELO_DIFF"", ""importance"": 0.2970036494586101}, {""feature"": ""HOME_ELO"", ""importance"": 0.24774916695553184}, {""feature"": ""AWAY_ELO"", ""importance"": 0.18074851421846824}, {""feature"": ""AWAY_roll_TOV"", ""importance"": 0.07948028427754601}, {""feature"": ""HOME_roll_REB"", ""importance"": 0.07113021959915208}]",0.6393623737373737,0.6306642462647083,-0.04234188691425533,-0.011250863028907876,-0.6438658144570136,{}
